md5_from,md5_to,MW_forward,MW_reverse
b355cb4ba1b964c33e6ff093d6501ed2,8b16b8589a919b5ac2a8e967f5840851,150.0,179.2
8f3fafdec035b1e90015ae6071184f54,cab1458966f921cea50d07b202d49c99,533.1,284.4
50429f255f0345eb0f7c06048a3bfd71,a4ed13a6f161d96f8aa20727345a3158,1254.2,557.5
cab1458966f921cea50d07b202d49c99,34633585f2b5bda90f9f2ca664848f83,797.9,1098.6
dfb7ed5634eedad7683248a52b05238f,39aed10797372cd8a863c1c07217fb23,1357.1,1634.3
db6bb71046588ae507769512b153877b,8c308893367eaff56253401f7bf278d7,2022.9,4030.0
52b11f0e81d5b8ef52bc3674c9473b5b,39aed10797372cd8a863c1c07217fb23,169.3,87.6
cab1458966f921cea50d07b202d49c99,dcb57819746b6e6c79cb5f8c208173d9,905.1,2064.2
8bb4fb487323fd17e6ebc62985b328af,265605ffaaddcc3d13d5d95449d2285e,5043.9,4687.2
dfb7ed5634eedad7683248a52b05238f,52b11f0e81d5b8ef52bc3674c9473b5b,573.1,693.1
9f7e16bb747b8f99aefaf75261613b71,dcb08f45f5327ad0a33a15d5c66f4111,1628.0,903.6
0c03add16b1ced2262e7d738a50e7c80,52b11f0e81d5b8ef52bc3674c9473b5b,357.4,462.4
0c03add16b1ced2262e7d738a50e7c80,303776352024811045f9ff9901443c3f,2041.9,2412.2
34633585f2b5bda90f9f2ca664848f83,4026f5142c9d6374247865fc12b78aed,0.0,0.0
8bb4fb487323fd17e6ebc62985b328af,1942f1e052aae8e41b0202f1d3898d29,4624.5,6315.1
932bd69975a061bb299f65fa80844851,303776352024811045f9ff9901443c3f,621.2,575.7
303776352024811045f9ff9901443c3f,39aed10797372cd8a863c1c07217fb23,4094.8,1977.6
dcb57819746b6e6c79cb5f8c208173d9,34633585f2b5bda90f9f2ca664848f83,426.7,566.9
dcb57819746b6e6c79cb5f8c208173d9,4026f5142c9d6374247865fc12b78aed,1316.3,869.5
f95164989b1010c59e4a64bd7bd6f192,d14df0e3482dbfefc31bbf9196420883,2010.9,2644.6
81c8486850edb808bf58650aaa3c36fd,93e7754e3229c4cd9167c5292a7773b5,6257.9,7206.1
dfb7ed5634eedad7683248a52b05238f,4026f5142c9d6374247865fc12b78aed,435.6,414.6
81c8486850edb808bf58650aaa3c36fd,ea4f893317f30161c72d21075feaf713,6517.2,11629.3
95f010dcc44da9cb878c408bfd8e2c56,4da38aec984d2f54d9c94ac5e0c52c4f,2559.6,2330.3
50429f255f0345eb0f7c06048a3bfd71,93e7754e3229c4cd9167c5292a7773b5,2196.4,2329.1
1942f1e052aae8e41b0202f1d3898d29,99076f48936f656075dee0ad0473cfe2,4269.9,4337.2
4026f5142c9d6374247865fc12b78aed,a9ca4ff9b3fbbfd6b427ef5503cfeda4,1025.5,540.7
998030323db090e04d0a4c441ea7a89c,f156dc0192f71fd5070919987eae981e,9.3,16.7
