md5_from,md5_to,MW_forward,MW_reverse,source
9087fba46cda4f8063b397bf472f226c,a74e88cfc53686ce828fb037d0f2041e,79.748,0.0,uprate
9087fba46cda4f8063b397bf472f226c,72c9c8db131782f395f46f8bb1189356,55.358,0.0,uprate
8371d58a2140475594cb7a1c22f0baaa,050cb9ed012553ba17b834300d37e4d6,98.666,0.0,uprate
939a391a1ac9a3431f2d78e83bd8b856,e0481545062e383969b6c020ad73e2f8,50.129,0.0,uprate
e7c26e48b7ee853cbf5e49de5d800745,ab76377061f00f84e8ac62277392c691,120.587,0.0,uprate
a74e88cfc53686ce828fb037d0f2041e,c91ef42552e1027b5d648beeffa1be50,0.0,352.585,uprate
72c9c8db131782f395f46f8bb1189356,0e1ddc294fde5896865dd30b1912c8a0,80.37,0.0,uprate
c91ef42552e1027b5d648beeffa1be50,1747774b79e1da589f5eafc576b4c2e1,0.0,454.689,uprate
e7758fe5b033ed143e73a3cbafa3ff2f,82b9fe6d15e5952e1f5e597833d5fd95,0.0,113.783,uprate
330add99531b6d578cc1c18e8444b10a,4e21a35107f3ebeb38da1a3ee0a6d47f,369.095,0.0,uprate
72a2c10a923eca15e8aee55da47a96f3,d5eac06fe54b1f804e302e0e0423190a,83.442,0.0,uprate
72a2c10a923eca15e8aee55da47a96f3,0b845236da4ce3d6e20524161c1966c0,0.0,80.988,uprate
56a2285b5e69db7e2cf98fae11eb7603,5c0321b6b78eecdfcf72e6a44222fef9,13.464,0.0,uprate
42aca308383ef9a5e38b0ab32b542dd5,ec69afac0d09f2914d811fa665d06e54,0.0,34.239,uprate
